NER
HOUSES : house arryn
HOUSES : house bolton
HOUSES : house frey
HOUSES : house lannister
HOUSES : house of black
HOUSES : house stark
HOUSES : house tyrell
NP : 
NP : a
NP : a dothraki
NP : a lannister
NP : a stark
NP : a tyrell
NP : a white walker
NP : aegon
NP : aemon
NP : aeron
NP : aerys
NP : aerys targaryen
NP : afterward
NP : akho
NP : alliser
NP : alliser thorne
NP : alton
NP : alton lannister
NP : amory
NP : amory lorch
NP : an unsullied
NP : anguy
NP : april
NP : areo
NP : army
NP : arry
NP : arryn
NP : arya
NP : arya stark
NP : astapor
NP : b
NP : baelish
NP : baelor
NP : balon
NP : balon greyjoy
NP : bank
NP : baratheon
NP : baratheons
NP : barristan
NP : barristan selmy
NP : bastard
NP : battle
NP : bay
NP : bear
NP : bear island
NP : benjen
NP : beric
NP : bert
NP : beyond
NP : biter
NP : black
NP : black walder
NP : blackfish
NP : blackwater
NP : bolton
NP : bolton's
NP : boltons
NP : bones
NP : book
NP : both thorne
NP : bowen
NP : braavos
NP : braavosi
NP : bran
NP : bran stark
NP : brienne
NP : broken tower
NP : bronn
NP : brotherhood
NP : brotherhood without banners
NP : brothers
NP : brynden
NP : castamere
NP : casterly rock
NP : castle
NP : castle black
NP : cat
NP : catelyn
NP : catelyn stark
NP : cersei
NP : children
NP : citadel
NP : city watch
NP : clegane
NP : commander
NP : commander jeor mormont
NP : commander mormont
NP : conquer
NP : corbray
NP : council
NP : craster
NP : cressen
NP : cripples
NP : crossroads inn
NP : crown
NP : daario
NP : daenerys
NP : daenerys targaryen
NP : daenerys'
NP : dagmer
NP : daisy
NP : dance
NP : dany
NP : david benioff
NP : davos
NP : dayne
NP : dead
NP : deepwood motte
NP : dondarrion
NP : dontos
NP : doran
NP : doreah
NP : dorne
NP : dornish
NP : dosh khaleen
NP : dothraki
NP : dragons
NP : dragonstone
NP : dreadfort
NP : drogo
NP : drogon
NP : drowned god
NP : duur
NP : edd
NP : eddard
NP : eddard stark
NP : eddison
NP : edmure
NP : egg
NP : elia
NP : ellaria
NP : ellaria sand
NP : euron
NP : euron greyjoy
NP : eyrie
NP : faceless men
NP : faces
NP : faith
NP : faith militant
NP : fennesz
NP : fingers
NP : first men
NP : first white walker
NP : fist
NP : five kings
NP : flea bottom
NP : ford
NP : forest
NP : free cities
NP : free folk
NP : frey
NP : freys
NP : garden
NP : gardens
NP : gared
NP : gendry
NP : ghost
NP : gift
NP : gilly
NP : gods
NP : grand
NP : great
NP : great houses
NP : great masters
NP : great sept
NP : greatjon
NP : gregor
NP : gregor clegane
NP : grenn
NP : grey wind
NP : grey worm
NP : greyjoy
NP : halfhand
NP : hall
NP : hallyne
NP : hand
NP : hardhome
NP : harpy
NP : harrenhal
NP : her khalasar
NP : high
NP : high hall
NP : high septon
NP : high sparrow
NP : highgarden
NP : hizdahr
NP : hobb
NP : hodor
NP : hoster
NP : hoster tully
NP : hot pie
NP : hotah
NP : hound
NP : howland
NP : ice
NP : iggo
NP : illyrio
NP : ilyn payne
NP : imp
NP : iron
NP : iron bank
NP : iron islands
NP : iron throne
NP : ironborn
NP : irri
NP : jaime
NP : jaime lannister
NP : jamie
NP : janos
NP : janos slynt
NP : jaqen
NP : jaqen h'ghar
NP : jeor
NP : jeor mormont
NP : joffrey
NP : joffrey baratheon
NP : jojen
NP : jon
NP : jon arryn
NP : jon sn
NP : jon snow
NP : jorah
NP : jorah mormont
NP : jory
NP : jory cassel
NP : joyeuse
NP : karl
NP : karsi
NP : karstark
NP : karstarks
NP : keep
NP : kevan
NP : khal
NP : khal drogo
NP : khal moro
NP : kin
NP : kingdom
NP : kingsguard
NP : kingsroad
NP : kinvara
NP : kraznys
NP : lady
NP : lady crane
NP : lady lysa arryn
NP : lady olenna
NP : lancel
NP : lancel lannister
NP : landing
NP : lanna
NP : lannister
NP : lannisters
NP : last targaryen
NP : later
NP : leaf
NP : lhazareen
NP : light
NP : littlefinger
NP : loboda
NP : locke
NP : lollys
NP : lommy
NP : long bridge
NP : longclaw
NP : loraq
NP : loras
NP : lorch
NP : lorren
NP : lothar
NP : luwin
NP : lyanna
NP : lyanna stark
NP : lys
NP : lysa
NP : mace
NP : mad
NP : mag
NP : maggy
NP : mago
NP : maiden fair
NP : main lannister
NP : mance
NP : mance rayder
NP : mandon
NP : margaery
NP : margaery tyrell
NP : marillion
NP : martell
NP : martyn
NP : martyn lannister
NP : matthos
NP : meera
NP : meereen
NP : melara
NP : melisandre
NP : men
NP : mero
NP : meryn
NP : mhaegen
NP : mighdal
NP : mighdal's
NP : mirri maz duur
NP : missandei
NP : moat cailin
NP : mole
NP : moon door
NP : mord
NP : mormont
NP : moro
NP : mossador
NP : mother
NP : mott
NP : mountain
NP : mud gate
NP : mummer
NP : mycah
NP : myr
NP : myranda
NP : myrcella
NP : naharis
NP : narrow sea
NP : neck
NP : ned
NP : ned stark
NP : needle
NP : night
NP : night lands
NP : nightfort
NP : north
NP : northern
NP : northerners
NP : norvosi
NP : nym
NP : nymeria
NP : oathkeeper
NP : obara
NP : oberyn
NP : old gods
NP : old nan
NP : oldtown
NP : olenna
NP : olenna tyrell
NP : olly
NP : olyvar
NP : onion knight
NP : orell
NP : ornela
NP : orson
NP : osha
NP : outside
NP : oxcross
NP : pentos
NP : pentoshi
NP : petyr
NP : piggy
NP : pit
NP : pod
NP : podrick
NP : polliver
NP : pree
NP : prendahl
NP : priestess
NP : protector
NP : punishment
NP : pyat
NP : pyat pree
NP : pycelle
NP : pyke
NP : pyp
NP : pypar
NP : qarth
NP : qhorin
NP : qotho
NP : quaithe
NP : qyburn
NP : rains
NP : rakharo
NP : ramsay
NP : ramsay bolton
NP : ramsay snow
NP : rast
NP : raven
NP : rayder
NP : razdal
NP : realm
NP : rebellion
NP : red comet
NP : red fork
NP : red keep
NP : red priestess
NP : red waste
NP : red wedding
NP : reed
NP : reek
NP : regent
NP : renly
NP : reyne
NP : rhaegal
NP : rhaegar
NP : rhaegar targaryen
NP : rhaego
NP : rhaenyra
NP : rickard
NP : rickard karstark
NP : rickon
NP : riverlands
NP : riverrun
NP : robb
NP : robb stark
NP : robert
NP : robert baratheon
NP : robert's
NP : robin
NP : rodrik
NP : roose
NP : roose bolton
NP : ros
NP : roslin
NP : royce
NP : sack
NP : salladhor
NP : salt throne
NP : sam
NP : samwell
NP : samwell tarly
NP : sand snakes
NP : sandor
NP : sandor clegane
NP : sansa
NP : sansa stark
NP : savo
NP : second sons
NP : selmy
NP : selwyn
NP : selyse
NP : sept
NP : septa mordane
NP : septa unella
NP : ser alliser
NP : ser amory
NP : ser arthur
NP : ser barristan
NP : ser barristan selmy
NP : ser beric
NP : ser davos
NP : ser gerold
NP : ser gregor
NP : ser hugh
NP : ser ilyn
NP : ser ilyn payne
NP : ser jorah
NP : ser kevan
NP : ser loras
NP : ser mandon
NP : ser meryn
NP : ser meryn trant
NP : ser rodrik
NP : ser rodrik cassel
