 S01E01_winter_is_coming.json S01E02_the_kingsroad.json S01E03_lord_snow.json S01E04_cripples,_bastards_and_broken_things.json S01E05_the_wolf_and_the_lion.json S01E06_a_golden_crown.json S01E07_you_win_or_you_die.json S01E08_the_pointy_end.json S01E09_baelor.json S01E10_fire_and_blood.json S02E01_the_north_remembers.json S02E02_the_night_lands.json S02E03_what_is_dead_may_never_die.json S02E04_garden_of_bones.json S02E05_the_ghost_of_harrenhal.json S02E06_the_old_gods_and_the_new.json S02E07_a_man_without_honor.json S02E08_the_prince_of_winterfell.json S02E09_blackwater.json S02E10_valar_morghulis.json S03E01_valar_dohaeris.json S03E02_dark_wings,_dark_words.json S03E03_walk_of_punishment.json S03E04_and_now_his_watch_is_ended.json S03E05_kissed_by_fire.json S03E06_the_climb.json S03E07_the_bear_and_the_maiden_fair.json S03E08_second_sons.json S03E09_the_rains_of_castamere.json S03E10_mhysa.json S04E01_two_swords.json S04E02_the_lion_and_the_rose.json S04E03_breaker_of_chains.json S04E04_oathkeeper.json S04E05_first_of_his_name.json S04E06_the_laws_of_gods_and_men.json S04E07_mockingbird.json S04E08_the_mountain_and_the_viper.json S04E09_the_watchers_on_the_wall.json S04E10_the_children.json S05E01_the_wars_to_come.json S05E02_the_house_of_black_and_white.json S05E03_high_sparrow.json S05E04_sons_of_the_harpy.json S05E05_kill_the_boy.json S05E06_unbowed,_unbent,_unbroken.json S05E07_the_gift.json S05E08_hardhome.json S05E09_the_dance_of_dragons.json S05E10_mother's_mercy.json S06E01_the_red_woman.json S06E02_home.json S06E03_oathbreaker.json S06E04_book_of_the_stranger.json S06E05_the_door.json
inexperi -2.52259077037 -1.69373951725 -2.05410962731 -2.16222066032 -2.43249824286 -1.71175802275 -2.09014663831 -2.84692386942 -2.19825767133 -2.54060927588 -1.76581353926 -1.09912883566 -0.792814242118 -2.77484984741 -1.04507331916 -1.60364698974 -1.27931389069 -0.73875872561 -1.80185055027 -1.56760997873 -2.90097938593 -2.7207943309 -4.7028299362 -5.60375521133 -6.28845842043 -1.74779503376 -2.37844272635 -2.41447973736 -2.50457226487 -3.67577512255 -2.84692386942 -2.50457226487 -1.58562848424 -1.81986905577 -1.3694064182 -1.29733239619 -1.45949894572 -1.85590606678 -3.51360857302 -5.45960716731 -1.60364698974 -2.12618364932 -2.25231318783 -4.30642281514 -2.30636870434 -2.36042422085 -1.87392457228 -2.48655375937 -3.27936800149 -1.96401709979 -2.0000541108 -2.27033169334 -3.42351604551 -3.04512742995 -3.17125696847
pardon -2.46853525387 -1.71175802275 -1.45949894572 -2.61268329789 -1.76581353926 -2.14420215482 -1.58562848424 -2.32438720985 -1.94599859429 -2.54060927588 -1.11714734117 -0.288296088043 -0.414425626562 -2.37844272635 -0.432444132064 -1.22525837418 -0.918943780637 -0.46848114307 -0.900925275134 -1.40544342921 -2.34240571535 -3.26134949598 -4.09020074911 -5.00914452974 -7.15334668456 -1.27931389069 -2.10816514381 -2.21627617683 -1.87392457228 -2.7207943309 -2.52259077037 -2.37844272635 -1.3333694072 -1.74779503376 -1.69373951725 -1.13516584667 -1.26129538519 -2.59466479239 -2.14420215482 -5.00914452974 -1.56760997873 -2.0000541108 -2.0180726163 -3.89199718858 -2.0000541108 -2.37844272635 -2.46853525387 -2.30636870434 -3.333423518 -1.85590606678 -1.62166549524 -2.07212813281 -2.36042422085 -2.34240571535 -2.19825767133
waymar -2.21627617683 -1.47751745122 -1.51355446222 -2.05410962731 -2.18023916582 -2.27033169334 -1.78383204477 -2.16222066032 -2.12618364932 -2.23429468233 -1.69373951725 -1.11714734117 -1.15318435217 -2.25231318783 -1.13516584667 -1.38742492371 -1.3153509017 -0.864888264129 -1.27931389069 -1.67572101175 -1.90996158328 -2.7027758254 -3.13521995747 -4.00010822159 -4.81094096922 -1.49553595672 -1.85590606678 -1.85590606678 -1.76581353926 -2.30636870434 -2.54060927588 -2.0360911218 -1.3153509017 -1.45949894572 -1.3513879127 -1.17120285767 -1.71175802275 -1.76581353926 -2.0000541108 -3.62171960604 -1.54959147323 -1.85590606678 -1.67572101175 -3.02710892445 -2.07212813281 -2.16222066032 -1.89194307778 -1.98203560529 -2.77484984741 -2.10816514381 -1.90996158328 -1.78383204477 -2.59466479239 -2.45051674836 -2.0000541108
hatr -1.24327687968 -1.18922136318 -0.954980791642 -1.58562848424 -1.02705481365 -1.3513879127 -1.54959147323 -1.72977652826 -1.47751745122 -1.60364698974 -1.02705481365 -0.630647692594 -0.612629187091 -1.74779503376 -0.702721714604 -0.792814242118 -0.846869758626 -0.576592176086 -0.720740220107 -1.02705481365 -1.47751745122 -1.83788756127 -2.34240571535 -3.26134949598 -4.7028299362 -1.09912883566 -1.72977652826 -1.3153509017 -1.40544342921 -1.87392457228 -1.69373951725 -1.08111033016 -0.864888264129 -0.918943780637 -1.11714734117 -0.882906769631 -1.13516584667 -1.11714734117 -1.74779503376 -2.95503490244 -1.17120285767 -1.02705481365 -1.22525837418 -2.07212813281 -1.58562848424 -1.74779503376 -1.54959147323 -1.47751745122 -2.10816514381 -1.3513879127 -1.04507331916 -1.18922136318 -1.49553595672 -1.76581353926 -1.53157296773
four -1.13516584667 -0.864888264129 -1.04507331916 -1.26129538519 -1.18922136318 -1.18922136318 -0.900925275134 -1.3694064182 -1.17120285767 -1.60364698974 -0.810832747621 -0.630647692594 -0.396407121059 -1.3153509017 -0.414425626562 -0.720740220107 -0.612629187091 -0.396407121059 -0.720740220107 -0.972999297145 -1.13516584667 -1.74779503376 -2.0360911218 -2.73881283641 -3.83794167207 -0.936962286139 -1.24327687968 -1.49553595672 -1.13516584667 -1.71175802275 -1.85590606678 -1.81986905577 -0.828851253123 -0.918943780637 -0.936962286139 -0.720740220107 -0.991017802647 -1.09912883566 -1.3333694072 -2.86494237493 -0.864888264129 -1.13516584667 -0.936962286139 -1.90996158328 -1.00903630815 -1.24327687968 -1.27931389069 -1.27931389069 -2.16222066032 -1.24327687968 -1.18922136318 -1.02705481365 -1.53157296773 -1.56760997873 -1.3153509017
catch -0.918943780637 -0.414425626562 -0.882906769631 -0.774795736615 -0.972999297145 -0.666684703599 -0.810832747621 -1.02705481365 -0.702721714604 -0.828851253123 -0.936962286139 -0.486499648572 -0.504518154075 -1.18922136318 -0.702721714604 -0.576592176086 -0.504518154075 -0.414425626562 -0.558573670583 -0.846869758626 -1.3694064182 -1.24327687968 -2.09014663831 -2.37844272635 -2.86494237493 -0.73875872561 -0.972999297145 -0.792814242118 -0.612629187091 -1.24327687968 -1.15318435217 -1.11714734117 -0.684703209102 -0.702721714604 -0.630647692594 -0.576592176086 -0.558573670583 -0.774795736615 -1.04507331916 -1.78383204477 -0.612629187091 -0.991017802647 -0.810832747621 -1.65770250625 -0.918943780637 -0.648666198096 -0.73875872561 -0.918943780637 -1.3333694072 -0.648666198096 -0.648666198096 -0.522536659578 -1.13516584667 -1.18922136318 -0.972999297145
protest -0.576592176086 -0.414425626562 -0.486499648572 -0.954980791642 -0.756777231112 -0.666684703599 -0.594610681588 -0.630647692594 -0.576592176086 -0.486499648572 -0.414425626562 -0.342351604551 -0.162166549524 -0.954980791642 -0.162166549524 -0.360370110054 -0.54055516508 -0.198203560529 -0.180185055027 -0.450462637567 -0.882906769631 -1.69373951725 -1.71175802275 -1.69373951725 -2.97305340794 -0.594610681588 -1.15318435217 -0.684703209102 -0.378388615556 -1.22525837418 -0.810832747621 -0.774795736615 -0.396407121059 -0.756777231112 -0.46848114307 -0.342351604551 -0.504518154075 -0.504518154075 -0.774795736615 -2.18023916582 -0.432444132064 -0.648666198096 -0.630647692594 -1.58562848424 -0.828851253123 -1.00903630815 -0.792814242118 -0.684703209102 -1.08111033016 -0.558573670583 -0.486499648572 -1.08111033016 -0.828851253123 -1.11714734117 -0.576592176086
sleep -0.594610681588 -0.324333099048 -0.558573670583 -1.18922136318 -0.666684703599 -0.882906769631 -0.846869758626 -0.630647692594 -0.702721714604 -0.702721714604 -0.594610681588 -0.558573670583 -0.324333099048 -0.73875872561 -0.234240571535 -0.198203560529 -0.180185055027 -0.27027758254 -0.252259077037 -0.360370110054 -0.684703209102 -1.44148044021 -1.3153509017 -2.43249824286 -3.45955305651 -0.504518154075 -0.810832747621 -0.702721714604 -0.306314593546 -0.882906769631 -1.04507331916 -0.666684703599 -0.450462637567 -0.288296088043 -0.27027758254 -0.450462637567 -0.504518154075 -0.810832747621 -0.792814242118 -1.62166549524 -0.450462637567 -0.648666198096 -0.46848114307 -1.29733239619 -0.846869758626 -0.774795736615 -0.666684703599 -0.720740220107 -1.27931389069 -0.486499648572 -0.54055516508 -0.882906769631 -0.648666198096 -0.756777231112 -0.432444132064
astray -0.810832747621 -0.46848114307 -0.558573670583 -1.02705481365 -0.594610681588 -0.810832747621 -0.630647692594 -0.558573670583 -0.828851253123 -0.648666198096 -0.414425626562 -0.342351604551 -0.288296088043 -1.09912883566 -0.288296088043 -0.414425626562 -0.252259077037 -0.144148044021 -0.324333099048 -0.558573670583 -0.864888264129 -1.20723986868 -1.45949894572 -1.63968400074 -2.05410962731 -0.432444132064 -0.774795736615 -1.06309182466 -0.666684703599 -0.900925275134 -0.864888264129 -0.774795736615 -0.684703209102 -0.594610681588 -0.46848114307 -0.378388615556 -0.450462637567 -0.774795736615 -0.828851253123 -1.17120285767 -0.486499648572 -0.648666198096 -0.504518154075 -1.27931389069 -0.576592176086 -0.576592176086 -0.720740220107 -0.774795736615 -1.17120285767 -0.558573670583 -0.666684703599 -0.612629187091 -0.612629187091 -0.864888264129 -0.774795736615
rampart -0.576592176086 -0.342351604551 -0.648666198096 -0.702721714604 -0.756777231112 -0.666684703599 -0.450462637567 -0.684703209102 -0.594610681588 -0.666684703599 -0.612629187091 -0.288296088043 -0.306314593546 -0.720740220107 -0.216222066032 -0.324333099048 -0.378388615556 -0.27027758254 -0.288296088043 -0.378388615556 -0.774795736615 -0.991017802647 -1.08111033016 -1.72977652826 -2.25231318783 -0.486499648572 -0.936962286139 -0.594610681588 -0.54055516508 -0.918943780637 -0.612629187091 -0.702721714604 -0.414425626562 -0.558573670583 -0.324333099048 -0.252259077037 -0.558573670583 -0.522536659578 -0.648666198096 -1.45949894572 -0.360370110054 -0.504518154075 -0.684703209102 -1.08111033016 -0.612629187091 -1.06309182466 -0.54055516508 -0.486499648572 -0.936962286139 -0.702721714604 -0.414425626562 -0.648666198096 -0.702721714604 -0.486499648572 -0.594610681588
